EVAL_ID,BUILDINGTYPE,CLIENTCITY,ClientPcode,EntrydateD,COMMONHEATEDFLOORAREA,COMMONSPACEELECCONS,DECADEBUILT,EGHFCONELEC,EGHFCONNGAS,EGHFCONOIL,EGHFCONPROP,EGHFCONTOTAL,EGHFCONWOOD,EGHFURNACEAEC,EGHHEATFCONSE,EGHHEATFCONSG,EGHHEATFCONSO,EGHHEATFCONSP,EGHHEATFCONSW,EGHRATING,EGHSPACEENERGY,ELECAUTOCHRGSTATION,ERSELECGHG,ERSGHG,ERSLIGHTAPPLIANCEENERGY,ERSNGASGHG,ERSOILGHG,ERSOTHERELECENERGY,ERSPROPGHG,ERSRATING,ERSSPACECOOLENERGY,ERSVENTILATIONENERGY,ERSWATERHEATINGENERGY,ERSWOODGHG,FLOORAREA,FURNACEFUEL,HEATEDFLOORAREA,INDFURNACEFUEL,INDFURNACETYPE,NUMDWELLINGUNITS,PDHWFUEL,TOTALOCCUPANTS,TYPEOFHOUSE,YEARBUILT,EGHFCONELEC_POST,EGHFCONNGAS_POST,EGHFCONOIL_POST,EGHFCONPROP_POST,EGHFCONTOTAL_POST,EGHFCONWOOD_POST,EGHFURNACEAEC_POST,EGHHEATFCONSE_POST,EGHHEATFCONSG_POST,EGHHEATFCONSO_POST,EGHHEATFCONSP_POST,EGHHEATFCONSW_POST,EGHRATING_POST,EGHSPACEENERGY_POST,ELECAUTOCHRGSTATION_POST,EntrydateE,ERSELECGHG_POST,ERSGHG_POST,ERSLIGHTAPPLIANCEENERGY_POST,ERSNGASGHG_POST,ERSOILGHG_POST,ERSOTHERELECENERGY_POST,ERSPROPGHG_POST,ERSRATING_POST,ERSSPACECOOLENERGY_POST,ERSVENTILATIONENERGY_POST,ERSWATERHEATINGENERGY_POST,ERSWOODGHG_POST,FLOORAREA_POST,FURNACEFUEL_POST,HEATEDFLOORAREA_POST,INDFURNACEFUEL_POST,INDFURNACETYPE_POST,PDHWFUEL_POST,PROGRAMNAME
1455299,,RICHMOND,V7A,2016,,,1970,7953.9,4488.4,0,0,195868.7,0,143091.9,1880,143092,0,0,0,0,144972.3,,0.2,8.8,11694.2,8.7,0,13928.4,0,196,0,1131.1,24143.1,0,202.2,Natural Gas,200.67,Electricity,Baseboard/Hydronic/Plenum,,Natural gas,3,Single Detached,1972,7705.8,2927.1,0,0,136799.9,0,84916.4,987,84916,0,0,0,0,85903.4,,2016,0.2,5.8,11694.2,5.6,0,13928.4,0,137,0,1131.1,24143.1,0,202.2,Natural Gas,200.67,Electricity,Baseboard/Hydronic/Plenum,Natural gas,HOT2000 11.2.86
1455220,,VANCOUVER,V6M,2016,,,1960,8206.6,5321.6,0,0,227820.9,0,167515,2224,173975,0,0,0,0,176199.8,,0.2,10.4,11694.2,10.3,0,13928.4,0,228,0,1696.6,24302.3,0,342.1,Natural Gas,338.17,Electricity,Baseboard/Hydronic/Plenum,,Natural gas,3,Single Detached,1966,7908.3,3503,0,0,158987,0,99726.3,1151,106186,0,0,0,0,107337.4,,2016,0.2,6.9,11694.2,6.8,0,13928.4,0,159,0,1696.6,24330.6,0,342.1,Natural Gas,338.17,Electricity,Baseboard/Hydronic/Plenum,Natural gas,HOT2000 11.2.86
1455927,,RICHMOND,V6W,2016,,,1980,8997.7,4387.7,0,0,195872.8,0,139337.8,1792,139338,0,0,0,0,141129.5,,0.2,8.6,11694.2,8.5,0,13928.4,0,196,3846.4,1131.1,24143.6,0,258.7,Natural Gas,202.34,Electricity,Baseboard/Hydronic/Plenum,,Natural gas,3,Single Detached,1985,8915.8,3542.9,0,0,164102.3,0,118783.8,1522,118784,0,0,0,0,120306.2,,2016,0.2,7,11694.2,6.8,0,13928.4,0,164,3820.7,1131.1,13221.9,0,258.7,Natural Gas,202.34,Electricity,Baseboard/Hydronic/Plenum,Natural gas,HOT2000 11.2.86
1455929,,SURREY,V4A,2016,,,1980,7882.1,3476.4,0,0,157904.4,0,105238.2,1339,105238,0,0,0,0,106577.3,,0.2,6.9,11694.2,6.7,0,13928.4,0,158,0,1413.9,24291,0,130.3,Natural Gas,262.92,Electricity,Baseboard/Hydronic/Plenum,,Natural gas,3,Single Detached,1982,7707.8,2192.5,0,0,109436.6,0,61659.6,711,61659,0,0,0,0,62371.1,,2016,0.2,4.4,11694.2,4.2,0,13928.4,0,109,0,1413.9,20029.1,0,130.3,Natural Gas,262.92,Electricity,Baseboard/Hydronic/Plenum,Natural gas,HOT2000 11.2.86
1456072,,RICHMOND,V6X,2016,,,1990,7765.1,2664,0,0,127214,0,75104.6,918,75104,0,0,0,0,76022.6,,0.2,5.3,11694.2,5.1,0,13928.4,0,127,0,1413.9,24155.2,0,148.9,Natural Gas,163.51,Electricity,Baseboard/Hydronic/Plenum,,Natural gas,3,"Row, middle unit",1991,7716.7,2201.4,0,0,109800.8,0,62146.5,744,62146,0,0,0,0,62890.2,,2016,0.2,4.4,11694.2,4.2,0,13928.4,0,110,0,1413.9,19874.4,0,148.9,Natural Gas,237.83,Electricity,Baseboard/Hydronic/Plenum,Natural gas,HOT2000 11.2.86
1456082,,PORT COQUITLAM,V3B,2016,,,1990,7641.8,2880.7,0,0,134842.6,0,68198.6,1058,74659,0,0,0,0,75717.4,,0.2,5.7,11694.2,5.6,0,13928.4,0,135,0,829.4,32673.4,0,203.3,Natural Gas,205.13,Electricity,Baseboard/Hydronic/Plenum,,Natural gas,3,"Row house, end unit",1995,7392.8,1964.7,0,0,99818.5,0,44493.6,162,50954,0,0,0,0,51116.1,,2016,0.2,3.9,11694.2,3.8,0,13928.4,0,100,0,829.4,22250.6,0,203.3,Natural Gas,205.13,Electricity,Baseboard/Hydronic/Plenum,Natural gas,HOT2000 11.3
1455946,,SURREY,V4N,2016,,,1980,7866.2,3549.5,0,0,160570.5,0,101649.2,1282,108109,0,0,0,0,109391.2,,0.2,7,11694.2,6.8,0,13928.4,0,161,0,1413.9,24143.1,0,175.1,Natural Gas,193.24,Electricity,Baseboard/Hydronic/Plenum,,Natural gas,3,Single Detached,1987,7585.7,2559.6,0,0,122676.3,0,64764.8,272,71225,0,0,0,0,71497,,2016,0.2,5.1,11694.2,4.9,0,13928.4,0,123,0,1413.9,24143.1,0,175.1,Natural Gas,193.24,Electricity,Baseboard/Hydronic/Plenum,Natural gas,HOT2000 11.3
1455931,,RICHMOND,V7A,2016,,,1980,7826.4,3256.6,0,0,149511.6,0,90721.2,1139,97181,0,0,0,0,98320.2,,0.2,6.4,11694.2,6.3,0,13928.4,0,150,0,1413.9,24155.2,0,186.7,Natural Gas,196.21,Electricity,Baseboard/Hydronic/Plenum,,Natural gas,3,Single Detached,1985,7663.5,2096.6,0,0,105705.2,0,47501.3,552,53962,0,0,0,0,54513.8,,2016,0.2,4.2,11694.2,4,0,13928.4,0,106,0,1413.9,24155.2,0,186.7,Natural Gas,196.21,Electricity,Baseboard/Hydronic/Plenum,Natural gas,HOT2000 11.2.86
1455941,,VANCOUVER,V6L,2016,,,1980,8740.6,4548.3,0,0,200931.4,0,138498.8,1823,144959,0,0,0,0,146782,,0.2,8.9,11694.2,8.8,0,13928.4,0,201,2323.8,1696.6,24506.7,0,253.8,Natural Gas,200.67,Electricity,Baseboard/Hydronic/Plenum,,Natural gas,3,Single Detached,1988,8685.9,3758.1,0,0,171292.6,0,113519.5,1476,119980,0,0,0,0,121456.2,,2016,0.2,7.4,11694.2,7.2,0,13928.4,0,171,2473.6,1696.6,20043.8,0,253.8,Natural Gas,200.67,Electricity,Baseboard/Hydronic/Plenum,Natural gas,HOT2000 11.3
1455945,,RICHMOND,V6V,2016,,,1990,8858.3,4492.8,0,0,199286.2,0,136781.2,1791,143241,0,0,0,0,145032.2,,0.2,8.8,11694.2,8.7,0,13928.4,0,199,2779.9,1696.6,24155.2,0,254.1,Natural Gas,246.75,Electricity,Baseboard/Hydronic/Plenum,,Natural gas,3,Single Detached,1995,8712.4,2611.6,0,0,128669.6,0,77705.7,1432,84166,0,0,0,0,85598.1,,2016,0.2,5.2,11694.2,5,0,13928.4,0,129,2613.2,1696.6,13139.2,0,254.1,Natural Gas,384.8,Electricity,Baseboard/Hydronic/Plenum,Natural gas,HOT2000 11.3
